# actor_loss, critic_loss ,rewards
-7.620064020156860352e-01,6.377049088478088379e-01,9.824417009602194328e-01
-7.672128677368164062e-01,6.425859928131103516e-01,9.976877960112222610e-01
-7.562175989151000977e-01,6.342884898185729980e-01,3.333333333333336063e-02
-7.645663022994995117e-01,6.394385099411010742e-01,8.666666666666666963e-01
-7.717348933219909668e-01,6.452889442443847656e-01,7.508916323731139597e-01
-7.593638896942138672e-01,6.323120594024658203e-01,7.356455373221110206e-01
-7.552992105484008789e-01,6.313344836235046387e-01,7.336378211014028539e-01
-7.634449005126953125e-01,6.362876892089843750e-01,7.333734304879762078e-01
-7.566417455673217773e-01,6.312153339385986328e-01,7.000000000000000666e-01
-7.558877468109130859e-01,6.299619674682617188e-01,7.000000000000000666e-01
-7.581777572631835938e-01,6.304689645767211914e-01,7.333333333333333925e-01
-7.584164142608642578e-01,6.334744691848754883e-01,7.000000000000000666e-01
-7.563235759735107422e-01,6.330105066299438477e-01,7.000000000000000666e-01
-7.606830596923828125e-01,6.353769898414611816e-01,8.157750285432677773e-01
-7.632503509521484375e-01,6.346358656883239746e-01,9.467961636631160305e-01
-7.546867132186889648e-01,6.276193857192993164e-01,0.000000000000000000e+00
-7.511737346649169922e-01,6.241077184677124023e-01,8.327113850086175217e-01
-7.584956884384155273e-01,6.330044865608215332e-01,7.993338733072282709e-01
-7.521883249282836914e-01,6.265499591827392578e-01,7.999991763705652792e-01
-7.460409402847290039e-01,6.187706589698791504e-01,0.000000000000000000e+00
-7.636703252792358398e-01,6.366544365882873535e-01,8.327113850086175217e-01
-7.463965415954589844e-01,6.209149360656738281e-01,7.993338733072282709e-01
-7.475690245628356934e-01,6.196436882019042969e-01,6.842233290627116604e-01
-7.583853006362915039e-01,6.326779127120971680e-01,6.689788642950542652e-01
-7.625631093978881836e-01,6.384862661361694336e-01,7.000000000000000666e-01
-7.482421994209289551e-01,6.223306059837341309e-01,6.666666666666666297e-01
-7.577715516090393066e-01,6.291271448135375977e-01,7.824454405949147207e-01
-7.485486865043640137e-01,6.231569051742553711e-01,7.976884897660343476e-01
-7.520706057548522949e-01,6.276691555976867676e-01,9.154706380930420773e-01
-7.539332509040832520e-01,6.262009739875793457e-01,9.309810442482763237e-01
-7.491108179092407227e-01,6.233519315719604492e-01,9.658862081041411640e-01
-7.545031905174255371e-01,6.277425289154052734e-01,9.666257631919931148e-01
-7.563899755477905273e-01,6.269946098327636719e-01,9.666612948415097550e-01
-7.453913688659667969e-01,6.186655163764953613e-01,9.666659592659113676e-01
-7.567468881607055664e-01,6.333124637603759766e-01,9.328612391955185545e-01
-7.614889144897460938e-01,6.386519670486450195e-01,9.333332090018459093e-01
-7.815932631492614746e-01,6.548041105270385742e-01,9.661946246476734723e-01
-7.615130543708801270e-01,6.365151405334472656e-01,0.000000000000000000e+00
-7.502384185791015625e-01,6.254189014434814453e-01,8.327113850086175217e-01
-7.521154880523681641e-01,6.283774971961975098e-01,8.660873063050876786e-01
-7.582261562347412109e-01,6.325364708900451660e-01,8.327526759138802470e-01
-7.591615915298461914e-01,6.353329420089721680e-01,7.993352258116717124e-01
-7.463314533233642578e-01,6.205329895019531250e-01,8.327552316034179114e-01
-7.607854604721069336e-01,6.357227563858032227e-01,6.666666666666665186e-02
-7.709200978279113770e-01,6.477019786834716797e-01,7.999999999999999334e-01
-7.589130997657775879e-01,6.337816715240478516e-01,9.157750342935528920e-01
-7.616564035415649414e-01,6.415194869041442871e-01,8.152460950510027615e-01
-7.539533376693725586e-01,6.286571025848388672e-01,8.020077162207082111e-01
-7.459838390350341797e-01,6.222987174987792969e-01,9.160394249069794270e-01
-7.489351034164428711e-01,6.234993934631347656e-01,9.310559462154595067e-01
-7.498016357421875000e-01,6.245578527450561523e-01,9.330334305029959197e-01
-7.612593770027160645e-01,6.368024945259094238e-01,9.332938399564988385e-01
-7.498610019683837891e-01,6.265468597412109375e-01,2.666614658927624615e-01
-7.620991468429565430e-01,6.367666721343994141e-01,6.842249657064471968e-01
-7.464720010757446289e-01,6.184846162796020508e-01,7.014220383896550004e-01
-7.578290104866027832e-01,6.324583292007446289e-01,7.333333333333333925e-01
-7.626038789749145508e-01,6.409740447998046875e-01,7.000000000000000666e-01
-7.666163444519042969e-01,6.390130519866943359e-01,8.157787865177240638e-01
-7.627770900726318359e-01,6.390184164047241211e-01,8.637473315510951766e-01
-7.547814249992370605e-01,6.225897073745727539e-01,8.663615217178429750e-01
-7.483345866203308105e-01,6.206142306327819824e-01,7.508515457440183560e-01
-7.625683546066284180e-01,6.343371868133544922e-01,7.356402586203706351e-01
-7.604376673698425293e-01,6.356441974639892578e-01,7.000000000000000666e-01
-7.484779357910156250e-01,6.224832534790039062e-01,6.666666666666666297e-01
-7.422923445701599121e-01,6.146076321601867676e-01,7.000000000000000666e-01
-7.593100070953369141e-01,6.377608776092529297e-01,7.000000000000000666e-01
-7.688813209533691406e-01,6.435669064521789551e-01,8.157751197443442459e-01
-7.570763826370239258e-01,6.295853853225708008e-01,8.310211413692935034e-01
-7.411579489707946777e-01,6.168649196624755859e-01,3.333333333333336063e-02
-7.690907716751098633e-01,6.454011797904968262e-01,7.993780516752840848e-01
-7.598145008087158203e-01,6.304485797882080078e-01,7.999992252295410333e-01
-7.621010541915893555e-01,6.323127746582031250e-01,7.999999992203696841e-01
-7.527992725372314453e-01,6.252716183662414551e-01,6.842249657048852240e-01
-7.505034804344177246e-01,6.234784126281738281e-01,3.333333333333336063e-02
-7.494906187057495117e-01,6.230387687683105469e-01,7.993780516752840848e-01
-7.513670921325683594e-01,6.259962320327758789e-01,6.842234274646982195e-01
-7.594315409660339355e-01,6.314704418182373047e-01,7.014266161570507085e-01
-7.414535284042358398e-01,6.142547130584716797e-01,7.003010020524350621e-01
-7.725541591644287109e-01,6.426242589950561523e-01,7.333333333333333925e-01
-7.643170356750488281e-01,6.357159614562988281e-01,7.333351487508744659e-01
-7.599974870681762695e-01,6.386964321136474609e-01,7.333340152644144405e-01
-7.489084601402282715e-01,6.222965717315673828e-01,7.333334248495982921e-01
-7.427225112915039062e-01,6.139090657234191895e-01,8.491083796851475185e-01
